model,observations,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,brier_score,actual_positive_rate,predicted_positive_rate
UNCONDITIONAL_MAJORITY,1388,0.5302593659942363,0.5,0.5302593659942363,1.0,0.6930320150659134,0.5,0.4697406340057637,,
PREVIOUS_DAY_DIRECTION,1387,0.547945205479452,0.5462772839197029,0.5733695652173914,0.5741496598639456,0.5737593473827328,0.5453299111055465,0.3107280551874991,,
MODEL_6,1116,0.5295698924731183,0.5217716967941676,0.5446927374301676,0.6621392190152802,0.5977011494252874,0.5188931808004433,0.25788173791804253,0.5277777777777778,0.6415770609318996
