date,nifty_open,nifty_high,nifty_low,nifty_close,nifty_volume
2026-09-01,24077.55078125,24143.150390625,23952.55078125,24055.80078125,334200
2026-09-02,23858.0,23914.44921875,23786.80078125,23914.44921875,318900
2026-09-03,23997.94921875,24025.400390625,23873.44921875,23873.44921875,239100
2026-09-04,23910.900390625,24005.75,23895.849609375,23897.69921875,231400
2026-09-07,23883.150390625,23890.0,23737.900390625,23779.150390625,205900
2026-09-08,23743.099609375,23758.94921875,23623.099609375,23635.099609375,230100
2026-09-09,23522.05078125,23571.55078125,23431.5,23431.5,352900
2026-09-10,23446.599609375,23494.94921875,23380.099609375,23477.80078125,253200
2026-09-11,23270.30078125,23448.099609375,23231.400390625,23398.099609375,293000
