symbol,date,status,old_open,old_high,old_low,old_close,old_volume,new_open,new_high,new_low,new_close,new_volume
POWERGRID,2025-03-18,REPAIRED_FROM_NSE,267.3500061035156,267.3500061035156,267.3500061035156,267.3500061035156,0.0,269.15,272.4,267.3,270.8,8899126.0
RELIANCE,2025-03-18,REPAIRED_FROM_NSE,1238.8499755859375,1238.8499755859375,1238.8499755859375,1238.8499755859375,0.0,1244.7,1248.35,1235.0,1238.8,15745877.0
SBILIFE,2025-03-18,REPAIRED_FROM_NSE,1434.25,1434.25,1434.25,1434.25,0.0,1452.7,1458.8,1431.05,1457.5,656130.0
SBIN,2025-03-18,REPAIRED_FROM_NSE,723.1500244140625,723.1500244140625,723.1500244140625,723.1500244140625,0.0,726.6,738.45,722.6,736.7,8087710.0
SHREECEM,2025-03-18,REPAIRED_FROM_NSE,27734.599609375,27734.599609375,27734.599609375,27734.599609375,0.0,27899.95,28008.6,27591.05,27824.7,42216.0
SHRIRAMFIN,2024-01-15,REPAIRED_FROM_NSE,458.55999755859375,458.55999755859375,458.55999755859375,458.55999755859375,0.0,2303.1,2325.0,2280.0,2319.55,556738.0
SHRIRAMFIN,2025-03-18,REPAIRED_FROM_NSE,623.25,623.25,623.25,623.25,0.0,630.0,645.7,626.05,642.3,6915463.0
SUNPHARMA,2025-03-18,REPAIRED_FROM_NSE,1704.300048828125,1704.300048828125,1704.300048828125,1704.300048828125,0.0,1714.35,1752.0,1700.0,1747.8,2730980.0
TATACONSUM,2025-03-18,REPAIRED_FROM_NSE,940.4500122070312,940.4500122070312,940.4500122070312,940.4500122070312,0.0,941.05,950.6,938.15,946.85,2343994.0
TATASTEEL,2025-03-18,REPAIRED_FROM_NSE,151.80999755859375,151.80999755859375,151.80999755859375,151.80999755859375,0.0,153.0,154.83,152.22,154.66,38125586.0
TCS,2025-03-18,REPAIRED_FROM_NSE,3497.699951171875,3497.699951171875,3497.699951171875,3497.699951171875,0.0,3502.35,3556.95,3478.45,3552.45,3069109.0
TECHM,2025-03-18,REPAIRED_FROM_NSE,1440.0999755859375,1440.0999755859375,1440.0999755859375,1440.0999755859375,0.0,1446.25,1453.0,1426.55,1430.65,3280540.0
TITAN,2025-03-18,REPAIRED_FROM_NSE,3017.35009765625,3017.35009765625,3017.35009765625,3017.35009765625,0.0,3030.75,3088.0,3015.4,3081.7,865951.0
TMPV,2025-03-18,REPAIRED_FROM_NSE,661.0499877929688,661.0499877929688,661.0499877929688,661.0499877929688,0.0,665.0,681.7,663.9,680.05,11236084.0
TRENT,2025-03-18,REPAIRED_FROM_NSE,5159.5498046875,5159.5498046875,5159.5498046875,5159.5498046875,0.0,5185.3,5285.4,5171.45,5260.25,994888.0
ULTRACEMCO,2025-03-18,REPAIRED_FROM_NSE,10547.099609375,10547.099609375,10547.099609375,10547.099609375,0.0,10570.0,10745.0,10551.0,10698.1,354620.0
UPL,2025-03-18,REPAIRED_FROM_NSE,626.1500244140625,626.1500244140625,626.1500244140625,626.1500244140625,0.0,630.0,636.75,623.15,635.2,2132031.0
WIPRO,2025-03-18,REPAIRED_FROM_NSE,259.8500061035156,259.8500061035156,259.8500061035156,259.8500061035156,0.0,261.75,263.05,259.4,261.25,11450247.0
ZOMATO,2024-01-15,REPAIRED_FROM_NSE,139.5500030517578,139.5500030517578,139.5500030517578,139.5500030517578,0.0,139.55,139.85,132.85,133.4,53570266.0
ZOMATO,2025-03-18,REPAIRED_FROM_NSE,203.69000244140625,203.69000244140625,203.69000244140625,203.69000244140625,0.0,204.28,219.1,204.28,218.19,79201906.0
ZOMATO,2025-04-11,REPAIRED_FROM_NSE,211.38999938964844,211.38999938964844,211.38999938964844,211.38999938964844,0.0,216.0,218.31,214.1,217.2,28917549.0
ZOMATO,2025-04-15,REPAIRED_FROM_NSE,211.38999938964844,211.38999938964844,211.38999938964844,211.38999938964844,0.0,224.25,224.25,220.1,222.23,45034496.0
