symbol,date,status,old_open,old_high,old_low,old_close,old_volume
BPCL,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,307.1499938964844,307.1499938964844,307.1499938964844,307.1499938964844,0.0
BPCL,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,309.75,309.75,309.75,309.75,0.0
BRITANNIA,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,5906.5,5906.5,5906.5,5906.5,0.0
BRITANNIA,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,5726.0,5726.0,5726.0,5726.0,0.0
BRITANNIA,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,5335.5,5335.5,5335.5,5335.5,0.0
BRITANNIA,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,5237.0,5237.0,5237.0,5237.0,0.0
CIPLA,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1434.5,1434.5,1434.5,1434.5,0.0
CIPLA,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1309.5999755859375,1309.5999755859375,1309.5999755859375,1309.5999755859375,0.0
CIPLA,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1418.199951171875,1418.199951171875,1418.199951171875,1418.199951171875,0.0
CIPLA,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1440.0999755859375,1440.0999755859375,1440.0999755859375,1440.0999755859375,0.0
COALINDIA,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,432.2000122070313,432.2000122070313,432.2000122070313,432.2000122070313,0.0
COALINDIA,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,481.4500122070313,481.4500122070313,481.4500122070313,481.4500122070313,0.0
COALINDIA,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,463.0499877929688,463.0499877929688,463.0499877929688,463.0499877929688,0.0
COALINDIA,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,435.3999938964844,435.3999938964844,435.3999938964844,435.3999938964844,0.0
DIVISLAB,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,6355.5,6355.5,6355.5,6355.5,0.0
DIVISLAB,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,6797.5,6797.5,6797.5,6797.5,0.0
DIVISLAB,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,6713.5,6713.5,6713.5,6713.5,0.0
DRREDDY,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1186.5,1186.5,1186.5,1186.5,0.0
DRREDDY,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1322.9000244140625,1322.9000244140625,1322.9000244140625,1322.9000244140625,0.0
DRREDDY,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1319.0,1319.0,1319.0,1319.0,0.0
DRREDDY,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1350.5,1350.5,1350.5,1350.5,0.0
EICHERMOT,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,7358.0,7358.0,7358.0,7358.0,0.0
EICHERMOT,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,7109.0,7109.0,7109.0,7109.0,0.0
EICHERMOT,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,7419.0,7419.0,7419.0,7419.0,0.0
EICHERMOT,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,7598.0,7598.0,7598.0,7598.0,0.0
GAIL,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,165.1699981689453,165.1699981689453,165.1699981689453,165.1699981689453,0.0
GAIL,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,163.22999572753906,163.22999572753906,163.22999572753906,163.22999572753906,0.0
GAIL,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,169.0,169.0,169.0,169.0,0.0
GAIL,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,172.85000610351562,172.85000610351562,172.85000610351562,172.85000610351562,0.0
GRASIM,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,2795.800048828125,2795.800048828125,2795.800048828125,2795.800048828125,0.0
GRASIM,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,2794.5,2794.5,2794.5,2794.5,0.0
GRASIM,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,3170.0,3170.0,3170.0,3170.0,0.0
