date,open,high,low,close,adj_close,volume,dividends,stock_splits
2023-07-13,4805.0,4943.9,4795.55,4893.3,,837160.0,,
2023-07-14,4925.0,5114.4,4902.0,5093.1,,1374038.0,,
2023-07-17,5125.0,5296.0,5080.0,5134.85,,1526990.0,,
2023-07-18,5050.0,5077.95,4945.25,5001.15,,1983506.0,,
2023-07-19,5030.0,5039.0,4950.0,4990.5,,526765.0,,
2023-07-20,5005.0,5018.0,4955.7,4985.05,,361901.0,,
2023-07-21,4895.0,5020.0,4855.0,4922.75,,859135.0,,
2023-07-24,4922.75,4962.6,4866.0,4879.05,,254263.0,,
2023-07-25,4890.0,4899.0,4852.5,4868.65,,283808.0,,
2023-07-26,4889.0,4937.5,4855.0,4860.55,,384319.0,,
2023-07-27,4890.0,4898.85,4837.6,4862.45,,406914.0,,
2023-07-28,4870.0,4893.5,4813.1,4844.05,,217121.0,,
2023-07-31,4840.4,4904.0,4801.0,4891.65,,343283.0,,
2023-08-01,4929.0,4998.7,4900.0,4977.45,,442346.0,,
2023-08-02,4975.0,4976.0,4840.0,4865.95,,542161.0,,
2023-08-03,4860.0,4898.95,4831.05,4869.9,,346102.0,,
2023-08-04,4885.0,4980.95,4881.2,4940.9,,238713.0,,
2023-08-07,4956.0,5059.3,4930.85,5047.05,,451430.0,,
2023-08-08,5058.0,5096.0,5021.5,5082.55,,340699.0,,
2023-08-09,5075.0,5112.5,5033.0,5104.2,,201844.0,,
2023-08-10,5085.0,5144.9,5071.55,5106.55,,255038.0,,
2023-08-11,5115.0,5171.95,5095.05,5107.35,,353239.0,,
2023-08-14,5090.0,5203.95,5065.0,5193.3,,396400.0,,
2023-08-16,5199.0,5238.7,5160.0,5197.9,,405856.0,,
2023-08-17,5188.0,5188.0,5082.8,5097.55,,344151.0,,
2023-08-18,5100.0,5114.0,5011.6,5085.15,,338124.0,,
2023-08-21,5086.0,5152.15,5056.0,5147.55,,202004.0,,
2023-08-22,5170.0,5170.0,5109.0,5139.9,,175355.0,,
2023-08-23,5155.05,5245.9,5155.05,5174.5,,359052.0,,
2023-08-24,5219.0,5229.9,5120.25,5170.15,,296417.0,,
2023-08-25,5131.0,5189.9,5104.15,5127.4,,206278.0,,
2023-08-28,5150.0,5156.85,5095.5,5129.95,,165824.0,,
2023-08-29,5141.0,5187.95,5122.1,5136.75,,196122.0,,
2023-08-30,5179.4,5213.0,5135.0,5173.65,,349680.0,,
2023-08-31,5195.0,5253.4,5158.05,5193.4,,636436.0,,
2023-09-01,5224.8,5314.0,5197.05,5303.35,,435444.0,,
2023-09-04,5315.05,5380.0,5272.85,5365.7,,397768.0,,
2023-09-05,5365.7,5462.0,5341.35,5426.15,,600824.0,,
2023-09-06,5448.95,5480.4,5357.1,5407.25,,388092.0,,
2023-09-07,5400.0,5497.95,5353.0,5485.9,,602474.0,,
2023-09-08,5500.0,5501.0,5450.0,5478.5,,244392.0,,
2023-09-11,5480.0,5521.0,5467.3,5508.65,,239456.0,,
2023-09-12,5508.6,5536.0,5416.0,5505.45,,327724.0,,
2023-09-13,5498.0,5550.0,5457.35,5539.1,,247607.0,,
2023-09-14,5545.0,5593.4,5481.35,5498.6,,401195.0,,
2023-09-15,5529.95,5549.3,5495.15,5532.8,,296245.0,,
2023-09-18,5520.0,5523.6,5471.1,5513.75,,184125.0,,
2023-09-20,5475.0,5527.7,5453.2,5473.45,,145121.0,,
2023-09-21,5468.0,5468.0,5355.0,5394.15,,313418.0,,
2023-09-22,5386.0,5452.5,5350.0,5427.5,,180055.0,,
2023-09-25,5449.0,5459.0,5360.0,5377.1,,254576.0,,
2023-09-26,5381.0,5410.5,5353.0,5363.05,,159123.0,,
2023-09-27,5400.0,5445.0,5376.1,5436.9,,320128.0,,
2023-09-28,5462.0,5462.0,5218.1,5264.9,,484805.0,,
2023-09-29,5265.0,5303.05,5128.0,5209.85,,481064.0,,
2023-10-03,5195.0,5249.85,5137.6,5212.75,,255939.0,,
2023-10-04,5181.0,5199.0,5126.65,5186.2,,199894.0,,
2023-10-05,5217.7,5255.0,5195.35,5226.25,,283699.0,,
