model,description,observations,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,brier_score
MODEL_4,NIFTY history + relative strength,1116,0.5241935483870968,0.5135823429541596,0.5375647668393783,0.7045840407470289,0.6098457016899339,0.5050047841032463,0.2580616883974944
UNCONDITIONAL_MAJORITY,,1388,0.5302593659942363,0.5,,,,,
PREVIOUS_DAY_DIRECTION,,1386,0.5476190476190477,0.5459073952161511,,,,,
