model,description,observations,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,brier_score
MODEL_3,NIFTY history + constituent momentum,1116,0.5053763440860215,0.4964546090082892,0.5251017639077341,0.6570458404074703,0.583710407239819,0.5126142466406576,0.25690696133030605
UNCONDITIONAL_MAJORITY,,1388,0.5302593659942363,0.5,,,,,
PREVIOUS_DAY_DIRECTION,,1386,0.5476190476190477,0.5459073952161511,,,,,
