year,observations,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,brier_score
2022,205,0.5365853658536586,0.5335429769392033,0.5454545454545454,0.6226415094339622,0.5814977973568282,0.5306842004955212,0.2632127901026802
2023,245,0.5795918367346938,0.5527482269503546,0.6130952380952381,0.7304964539007093,0.6666666666666666,0.5879705400981996,0.2388219668289062
2024,246,0.491869918699187,0.47857857857857855,0.532051282051282,0.6148148148148148,0.570446735395189,0.45992659325992663,0.2647909859722145
2025,249,0.46184738955823296,0.4608709677419355,0.4756756756756757,0.704,0.567741935483871,0.47374193548387095,0.2601744835501704
2026,171,0.4444444444444444,0.44950671416826526,0.4392523364485981,0.573170731707317,0.4973544973544973,0.47766511372978904,0.25915869033527983
