year,observations,model_mae,model_rmse,model_r2,model_correlation,model_directional_accuracy,zero_return_mae,zero_return_rmse,previous_day_mae,previous_day_rmse,previous_day_directional_accuracy
2022,205,0.008274236734177192,0.010473691179177038,-0.11345241642648918,0.07517984130811382,0.526829268292683,0.007754594173344896,0.009951780791393293,0.010363973620867856,0.013575823762650542,0.5463414634146342
2023,245,0.005020827847822505,0.006529710721224765,-0.12208734938696253,0.09742420850586923,0.5673469387755102,0.0049559141022008325,0.006209186648394903,0.008748625878185328,0.011456025019421136,0.5591836734693878
2024,246,0.006552603002120086,0.009200230192457304,-0.08201028746553374,-0.007027093967489741,0.44715447154471544,0.006024616999415622,0.00885361671558529,0.008142958484880402,0.010961563952550674,0.5203252032520326
2025,249,0.005680122848265005,0.0077294933676229265,-0.08469044325572828,-0.035743776476804635,0.5301204819277109,0.005457646643567026,0.007433195169438105,0.00893195548108712,0.01180601647275713,0.46184738955823296
2026,171,0.0069461556438228265,0.009592719556144625,-0.04758668498636154,0.04378006067327223,0.5029239766081871,0.006964011774238455,0.009391250306800976,0.008980787351792278,0.01245103886515122,0.5497076023391813
