year,observations,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,brier_score
2022,205,0.5024390243902439,0.5001905850962455,0.5172413793103449,0.5660377358490566,0.5405405405405406,0.5231560891938251,0.26366737336184265
2023,245,0.5346938775510204,0.4897708674304419,0.5692307692307692,0.7872340425531915,0.6607142857142857,0.5623977086743044,0.2456888511129375
2024,246,0.4796747967479675,0.46906906906906903,0.5234899328859061,0.5777777777777777,0.5492957746478874,0.4655321988655322,0.261695335660283
2025,249,0.5180722891566265,0.5175161290322581,0.5157232704402516,0.656,0.5774647887323944,0.5258064516129032,0.25595325621847287
2026,171,0.49707602339181284,0.5053439298437928,0.48333333333333334,0.7073170731707317,0.5742574257425742,0.4854754727322554,0.2621310666437426
