date,nifty_close,nifty_return_1d,nifty_return_3d,nifty_return_5d,nifty_return_10d,nifty_return_20d,nifty_close_ema20_ratio,nifty_close_ema50_ratio,nifty_close_ema200_ratio,nifty_rsi14,nifty_distance_20d_high,nifty_distance_20d_low,nifty_gap_pct,nifty_atr_pct,nifty_rolling_volatility_20d,nifty_volume_ratio_20d,constituent_count,breadth_1d,breadth_5d,breadth_20d,above_ema20_breadth,above_ema50_breadth,above_ema200_breadth,relative_strength_breadth,high_volume_up_breadth,high_volume_down_breadth,median_return_1d,median_return_5d,median_return_20d,median_rsi14,median_volume_ratio_20d,median_atr_pct,median_relative_strength_20d,nifty_t1_close,nifty_t1_return,target_t1_direction
2021-01-29,13634.599609375,,,,,,1.0,1.0,1.0,,,,,,,,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,14281.2001953125,0.047423511101338356,1
2021-02-01,14281.2001953125,0.047423511101338356,,,,,1.0427140670883779,1.0454791858551964,1.0469294904812971,,,,0.009094509817122898,,,,50.0,0.9,0.0,0.0,0.9,0.9,0.9,0.0,0.0,0.0,0.03004354574900603,,,,,,,14647.849609375,0.02567357148195737,1
2021-02-02,14647.849609375,0.02567357148195737,,,,,1.0624534239631032,1.0692877709473316,1.0730198762184635,,,,0.013997381965705769,,,,50.0,0.86,0.0,0.0,0.88,0.9,0.9,0.0,0.0,0.0,0.02160429201031444,,,,,,,14789.9501953125,0.009701122671723184,1
2021-02-03,14789.9501953125,0.009701122671723184,0.08473667133892904,,,,1.065377811944027,1.0762987450628803,1.0825307183453965,,,,0.007308293306171443,,,,50.0,0.82,0.0,0.0,0.96,0.96,0.96,0.0,0.0,0.0,0.009578543473537815,,,,,,,14895.650390625,0.0071467580293813615,1
2021-02-04,14895.650390625,0.0071467580293813615,0.04302510901809087,,,,1.0655842926555363,1.080432111428502,1.0892889236098693,,,,-6.0878543410192165e-05,,,,50.0,0.6,0.0,0.0,0.88,0.92,0.92,0.0,0.0,0.0,0.0038064230471074323,,,,,,,14924.25,0.0019199973566108586,1
2021-02-05,14924.25,0.0019199973566108586,0.018869690636917458,0.09458659788867219,,,1.060797643189323,1.079015329617032,1.0903889114208065,,,,0.0038232112903133775,,,,50.0,0.44,0.92,0.0,0.92,0.92,0.92,0.0,0.0,0.0,-0.0015867135214003847,0.09094705580769558,,,,,,15115.7998046875,0.01283480273296811,1
2021-02-08,15115.7998046875,0.01283480273296811,0.022031826008330535,0.05844043903599494,,,1.0668520650949267,1.088898796123156,1.103237965234544,,,,0.009384043063302983,,,,50.0,0.82,0.9,0.0,0.92,0.92,0.92,0.0,0.0,0.0,0.013722011508718102,0.06309989591730525,,,,,,15109.2998046875,-0.0004300136336804483,0
2021-02-09,15109.2998046875,-0.0004300136336804483,0.014343073881283308,0.031502930984296906,,,1.0596926852314705,1.0846690690091798,1.101637108626884,,,,0.0031986786383944033,,,,50.0,0.42,0.82,0.0,0.94,0.94,0.94,0.0,0.0,0.0,-0.003228536327822551,0.03164830351043135,,,,,,15106.5,-0.00018530340410816137,0
2021-02-10,15106.5,-0.00018530340410816137,0.012211668928086894,0.021403033851177256,,,1.0535267050863089,1.0808876643138017,1.1003224344642604,,,,0.0006452979374316214,,,,50.0,0.46,0.78,0.0,0.92,0.94,0.94,0.0,0.0,0.0,-0.0007490224140411783,0.019087965222905345,,,,,,15173.2998046875,0.004421924647502795,1
2021-02-11,15173.2998046875,0.004421924647502795,0.0038039667594809146,0.018639630145807384,,,1.0523537455266774,1.0820321802395114,1.1040324456172046,,,,-0.0022010392877238605,,,,50.0,0.54,0.74,0.0,0.92,0.96,0.96,0.0,0.0,0.0,0.0004639369334505927,0.01767713333008958,,,,,,15163.2998046875,-0.0006590524229219685,0
2021-02-12,15163.2998046875,-0.0006590524229219685,0.0035739578073132883,0.016017542234115556,0.11211918494925088,,1.0465113346134034,1.0778817179275575,1.1021718982099713,,,,0.0008502033698045697,,,,50.0,0.28,0.66,0.0,0.9,0.9,0.94,0.0,0.0,0.0,-0.007506928447963135,0.008166165636235068,,,,,,15314.7001953125,0.00998465984153385,1
2021-02-15,15314.7001953125,0.00998465984153385,0.013782159687055318,0.013158443032787348,0.07236786725664857,,1.0512575330144298,1.0848727273562058,1.111924530995487,,,,0.007056511536289944,,,,50.0,0.5,0.46,0.0,0.84,0.9,0.94,0.0,0.0,0.0,0.00022175065878088374,-0.0020393366260172408,,,,,,15313.4501953125,-8.162092525865194e-05,0
2021-02-16,15313.4501953125,-8.162092525865194e-05,0.009236645451486059,0.013511571897042218,0.04544015699830095,,1.0460736904233556,1.0811893652083946,1.1105979303212077,,,,0.0037055900067419767,,,,50.0,0.5,0.54,0.0,0.82,0.9,0.9,0.0,0.0,0.0,-0.00024273679003805615,0.0018439817855065987,,,,,,15208.900390625,-0.006827318687430917,0
2021-02-17,15208.900390625,-0.006827318687430917,0.0030072996329864043,0.006778564897560679,0.028326680602702936,,1.035093899485982,1.0707086589985022,1.1018860579491687,,,,-0.0021908717016475565,0.016817921117508235,,,50.0,0.34,0.48,0.0,0.76,0.82,0.84,0.0,0.0,0.0,-0.0063555455536539185,-0.001895160349170144,,,,0.03303937473128253,,15118.9501953125,-0.005914312869584326,0
