year,observations,positive_actual_rate,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,brier_score,true_negative,false_positive,false_negative,true_positive,predicted_positive_rate
2022,205,0.5170731707317073,0.5365853658536586,0.5332094530207738,0.5447154471544715,0.6320754716981132,0.5851528384279476,0.5213455307794931,0.26015184502233507,43,56,39,67,0.6
2023,245,0.5755102040816327,0.6081632653061224,0.5700013638843426,0.6203208556149733,0.8226950354609929,0.7073170731707317,0.5807419530823785,0.24083402928156222,33,71,25,116,0.763265306122449
2024,246,0.5487804878048781,0.5203252032520326,0.5029029029029028,0.5508982035928144,0.6814814814814815,0.609271523178808,0.46760093426760097,0.2597043871400633,36,75,43,92,0.6788617886178862
2025,249,0.5020080321285141,0.4819277108433735,0.4808709677419355,0.48947368421052634,0.744,0.5904761904761905,0.49051612903225805,0.25957356765890705,27,97,32,93,0.7630522088353414
2026,171,0.47953216374269003,0.45614035087719296,0.4626610030145245,0.45132743362831856,0.6219512195121951,0.5230769230769231,0.4540970128802411,0.2608714076201775,27,62,31,51,0.6608187134502924
