model,description,observations,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,brier_score
MODEL_5,NIFTY history + constituent volume pressure,1116,0.5161290322580645,0.5053430540297613,0.5316129032258065,0.6994906621392191,0.6041055718475073,0.5090446935113385,0.2566726362291941
UNCONDITIONAL_MAJORITY,,1388,0.5302593659942363,0.5,,,,,
PREVIOUS_DAY_DIRECTION,,1386,0.5476190476190477,0.5459073952161511,,,,,
