year,observations,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,brier_score
2022,205,0.5121951219512195,0.5089574995235373,0.5245901639344263,0.6037735849056604,0.5614035087719298,0.5143891747665332,0.2669767654266976
2023,245,0.5836734693877551,0.5436783960720131,0.6031746031746031,0.8085106382978723,0.6909090909090909,0.5656028368794326,0.24581079890430615
2024,246,0.5203252032520326,0.5093093093093093,0.5562913907284768,0.6222222222222222,0.5874125874125874,0.47967967967967967,0.2607464455864979
2025,249,0.5381526104417671,0.5372258064516129,0.5274725274725275,0.768,0.6254071661237784,0.5319354838709677,0.25602868487508695
2026,171,0.45614035087719296,0.4612222526719649,0.4485981308411215,0.5853658536585366,0.5079365079365079,0.4364209372430803,0.26380115246086866
