year,regime,observations,model7_accuracy,model7_balanced_accuracy,previous_day_accuracy,previous_day_balanced_accuracy,model8_mae,zero_return_mae,model8_rmse,zero_return_rmse
2022,DOWNTREND_HIGH_VOL,74,0.5675675675675675,0.5647058823529412,0.5540540540540541,0.5455882352941177,0.010404255642447896,0.010106964134465378,0.012649764367294987,0.012473291238196385
2022,DOWNTREND_LOW_VOL,13,0.23076923076923078,0.23809523809523808,0.6153846153846154,0.6309523809523809,0.008803862036099524,0.007530077532050354,0.010636273484699638,0.009494952056098403
2022,UPTREND_HIGH_VOL,20,0.55,0.5416666666666667,0.45,0.45833333333333337,0.007259822538373271,0.007242884981067595,0.008770609994844107,0.008692803271343724
2022,UPTREND_LOW_VOL,98,0.4897959183673469,0.46555412922550277,0.6122448979591837,0.5947796320068464,0.006802621997228757,0.006112528082114892,0.008828145213018116,0.007893640068494245
2023,DOWNTREND_HIGH_VOL,29,0.4827586206896552,0.4730392156862745,0.41379310344827586,0.4019607843137255,0.005317055002187708,0.005093864512493683,0.0065962007858609934,0.006139877270294763
2023,DOWNTREND_LOW_VOL,49,0.5102040816326531,0.5033444816053512,0.6122448979591837,0.5994983277591973,0.007185468381330587,0.006764431810327855,0.008758966743831746,0.008114293101814954
2023,UPTREND_HIGH_VOL,11,0.6363636363636364,0.5416666666666666,0.45454545454545453,0.3125,0.004674834941847836,0.005064430767330136,0.006542227812971905,0.006344930664673694
2023,UPTREND_LOW_VOL,156,0.5833333333333334,0.5148489503328213,0.5769230769230769,0.5478750640040962,0.004310237773125271,0.00435455760916789,0.00563542209468863,0.005479214540754228
2024,DOWNTREND_HIGH_VOL,56,0.5178571428571429,0.5178571428571428,0.4642857142857143,0.4642857142857143,0.006795461675224276,0.006844810075218898,0.00859189846160383,0.009052412649278899
2024,UPTREND_HIGH_VOL,141,0.4397163120567376,0.4371184371184371,0.48936170212765956,0.4774114774114774,0.006740813523018973,0.0059931742942433835,0.009832359764764318,0.009195888869199106
2024,UPTREND_LOW_VOL,49,0.5918367346938775,0.5310344827586206,0.6326530612244898,0.6198275862068966,0.005733464856393945,0.005177731472564648,0.007898985452461437,0.007519395150734539
2025,DOWNTREND_HIGH_VOL,38,0.5526315789473685,0.45692307692307693,0.6052631578947368,0.5523076923076923,0.0074168814485371295,0.007240157289791528,0.01060062204006983,0.01043951630724706
2025,DOWNTREND_LOW_VOL,49,0.5306122448979592,0.5476190476190476,0.5918367346938775,0.5952380952380952,0.00603223075132061,0.0055600350417917875,0.007628631176724405,0.006954546327010999
2025,UPTREND_HIGH_VOL,35,0.5428571428571428,0.5375816993464052,0.4857142857142857,0.48366013071895425,0.006875447792001445,0.006293451412222762,0.008377269815374165,0.007823837573847909
2025,UPTREND_LOW_VOL,127,0.5118110236220472,0.5004967709885743,0.5826771653543307,0.5810978638847492,0.004695189879045773,0.004654452919374151,0.006459128515390765,0.006339550251763766
2026,DOWNTREND_HIGH_VOL,81,0.5061728395061729,0.48888888888888893,0.3950617283950617,0.4027777777777778,0.00919678905505681,0.009318388447585143,0.012142093281119062,0.011954745760098532
2026,DOWNTREND_LOW_VOL,20,0.45,0.32142857142857145,0.45,0.32142857142857145,0.00425411716660682,0.004284989970621895,0.005349694473688712,0.005270252174917036
2026,UPTREND_HIGH_VOL,45,0.5333333333333333,0.5395256916996047,0.5555555555555556,0.5602766798418972,0.005842540915938254,0.005504742454835589,0.007495999157424827,0.006981882885377031
2026,UPTREND_LOW_VOL,25,0.4,0.4583333333333333,0.56,0.5590277777777778,0.003794240683389709,0.004105733570413588,0.005263711127047063,0.005499602852651472
