regime,observations,direction_actual_positive_rate,model7_accuracy,model7_balanced_accuracy,model7_roc_auc,previous_day_accuracy,previous_day_balanced_accuracy,model7_accuracy_delta_vs_previous_day,model7_balanced_accuracy_delta_vs_previous_day,model8_mae,model8_rmse,model8_r2,model8_correlation,zero_return_mae,zero_return_rmse,zero_return_r2,model8_mae_delta_vs_zero,model8_rmse_delta_vs_zero
UPTREND_LOW_VOL,455,0.5582417582417583,0.5340659340659341,0.5011850197829749,0.5606808477298547,0.5912087912087912,0.5803952677557096,-0.05714285714285716,-0.07921024797273468,0.005079426281368835,0.0068964781589251406,-0.1244004823448972,0.05578710115889717,0.004891882288470274,0.006533181144804703,-0.009056984712414451,0.0001875439928985612,0.00036329701412043773
UPTREND_HIGH_VOL,252,0.5317460317460317,0.4880952380952381,0.48222868707310906,0.4741968125474324,0.49603174603174605,0.48817353908423977,-0.007936507936507964,-0.005944852011130708,0.006550116491312454,0.009046901637204147,-0.13262733940292404,-0.08872849148067742,0.006006302473990867,0.008501575210639949,-0.0001982860090004035,0.000543814017321587,0.0005453264265641976
DOWNTREND_LOW_VOL,131,0.48854961832061067,0.48091603053435117,0.47784514925373134,0.4664179104477612,0.5801526717557252,0.5769589552238805,-0.09923664122137399,-0.09911380597014918,0.006467174101536939,0.008127767308903243,-0.18170772712450822,-0.08367986476569175,0.006011371626587443,0.007477028709127211,-5.905952825058236e-05,0.0004558024749494955,0.0006507385997760315
DOWNTREND_HIGH_VOL,278,0.49280575539568344,0.5287769784172662,0.5289382409276803,0.5313972148884403,0.48201438848920863,0.4805611637417818,0.046762589928057596,0.048377077185898454,0.008386463219140864,0.010969056559997876,-0.01802455341702891,0.11271536333209993,0.008305259792415424,0.01088080230215954,-0.0017089175476809881,8.120342672543988e-05,8.825425783833517e-05
