year,top_observations,bottom_observations,top_positive_pct,bottom_positive_pct,top_negative_pct,bottom_negative_pct,top_avg_t1_return,bottom_avg_t1_return,top_avg_absolute_return,bottom_avg_absolute_return,top_large_move_rate,bottom_large_move_rate,top_minus_bottom_positive_pct,top_minus_bottom_avg_return,top_minus_bottom_large_move_rate
2022,84.0,25.0,0.47619047619047616,0.64,0.5238095238095238,0.36,8.658177015198312e-05,0.001212929653547624,0.009303903494482303,0.0055418269775605765,0.38095238095238093,0.12,-0.16380952380952385,-0.001126347883395641,0.26095238095238094
2023,24.0,75.0,0.4166666666666667,0.6266666666666667,0.5833333333333334,0.37333333333333335,-0.0001670230377445249,0.0012932547539338188,0.005754987001611742,0.004677292320695662,0.125,0.10666666666666667,-0.21000000000000002,-0.0014602777916783436,0.018333333333333326
2024,47.0,32.0,0.5957446808510638,0.5,0.40425531914893614,0.5,0.002163391556675106,-0.000286675873825487,0.0062997523117379085,0.004490553275852494,0.19148936170212766,0.125,0.0957446808510638,0.002450067430500593,0.06648936170212766
2025,23.0,68.0,0.5652173913043478,0.47058823529411764,0.43478260869565216,0.5294117647058824,0.0032645964809724344,-0.00045578721472936654,0.01053451360721966,0.004324694380148894,0.391304347826087,0.10294117647058823,0.09462915601023014,0.003720383695701801,0.2883631713554987
2026,46.0,24.0,0.5652173913043478,0.4166666666666667,0.43478260869565216,0.5833333333333334,0.00043680378138499364,-0.00010032311416680835,0.010894745696518816,0.005361797753425975,0.43478260869565216,0.125,0.1485507246376811,0.000537126895551802,0.30978260869565216
