year,ranking_group,observations,avg_predicted_large_move_probability,positive_count,negative_count,zero_return_count,positive_pct,negative_pct,zero_return_pct,avg_t1_return,median_t1_return,avg_positive_return,avg_negative_return,avg_absolute_return,median_absolute_return,large_move_rate
2022,TOP_20,84.0,0.5361623215145351,40.0,44.0,0.0,0.47619047619047616,0.5238095238095238,0.0,8.658177015198312e-05,-0.00071495519418055,0.009860009527866002,-0.00879835255504258,0.009303903494482303,0.0071367723236016,0.38095238095238093
2022,MIDDLE_60,96.0,0.1695442293955435,50.0,46.0,0.0,0.5208333333333334,0.4791666666666667,0.0,0.001144026810411252,0.0008932245362341001,0.007794448113596561,-0.006084691997398865,0.006975189974585165,0.006025788135329601,0.23958333333333334
2022,BOTTOM_20,25.0,0.06415747695132927,16.0,9.0,0.0,0.64,0.36,0.0,0.001212929653547624,0.0007032337856462,0.005277153618053281,-0.006012357394462434,0.0055418269775605765,0.004033935455228,0.12
2023,TOP_20,24.0,0.33909766722985896,10.0,14.0,0.0,0.4166666666666667,0.5833333333333334,0.0,-0.0001670230377445249,-0.00203332086467975,0.0067055567566406595,-0.005076008605162515,0.005754987001611742,0.0050262046282494,0.125
2023,MIDDLE_60,146.0,0.14978510640589213,84.0,62.0,0.0,0.5753424657534246,0.4246575342465753,0.0,0.0006143330259953378,0.00126897156586375,0.004851041456807541,-0.005125723557685713,0.004967687280468134,0.0043471071089186495,0.10273972602739725
2023,BOTTOM_20,75.0,0.05738722734001767,47.0,28.0,0.0,0.6266666666666667,0.37333333333333335,0.0,0.0012932547539338188,0.0015492839458333,0.004763734368055436,-0.004532193169770325,0.004677292320695662,0.0042482823714824,0.10666666666666667
2024,TOP_20,47.0,0.36539636740200665,28.0,19.0,0.0,0.5957446808510638,0.40425531914893614,0.0,0.002163391556675106,0.0014147135985376,0.007102995746703778,-0.00511602514441978,0.0062997523117379085,0.0044519922849619,0.19148936170212766
2024,MIDDLE_60,167.0,0.15625098748522445,91.0,75.0,1.0,0.5449101796407185,0.4491017964071856,0.005988023952095809,3.1322196229150756e-05,0.0008536433743,0.005755497390920604,-0.006913592744046755,0.006241136038187316,0.0041488871182535,0.16766467065868262
2024,BOTTOM_20,32.0,0.06513922895640398,16.0,16.0,0.0,0.5,0.5,0.0,-0.000286675873825487,1.6307512160085302e-06,0.004203877402027007,-0.004777229149677981,0.004490553275852494,0.0038769278929910002,0.125
2025,TOP_20,23.0,0.37432597538201284,13.0,10.0,0.0,0.5652173913043478,0.43478260869565216,0.0,0.0032645964809724344,0.0017284255654137,0.012206905078016084,-0.00836040469518431,0.01053451360721966,0.0068575949591475,0.391304347826087
2025,MIDDLE_60,158.0,0.14358444068086637,80.0,78.0,0.0,0.5063291139240507,0.4936708860759494,0.0,0.00037471172113681336,0.0002001484014576,0.005511158971072683,-0.004893439304438437,0.005206208755898815,0.0042933480676967,0.12025316455696203
2025,BOTTOM_20,68.0,0.06450000083556323,32.0,36.0,0.0,0.47058823529411764,0.5294117647058824,0.0,-0.00045578721472936654,-0.0003029846734632,0.004110713863258246,-0.0045148992840516895,0.004324694380148894,0.0038325917215913,0.10294117647058823
2026,TOP_20,46.0,0.4601422731884942,26.0,20.0,0.0,0.5652173913043478,0.43478260869565216,0.0,0.00043680378138499364,0.00303922308520425,0.010024062999684141,-0.012026633202403901,0.010894745696518816,0.0089761189993953,0.43478260869565216
2026,MIDDLE_60,101.0,0.1502227173075128,46.0,55.0,0.0,0.45544554455445546,0.5445544554455446,0.0,-0.0011843463020128333,-0.0004417249460887,0.004797669443145549,-0.006187486743418025,0.005554500646264223,0.0041641539637333,0.1782178217821782
2026,BOTTOM_20,24.0,0.06631634110091317,10.0,14.0,0.0,0.4166666666666667,0.5833333333333334,0.0,-0.00010032311416680835,-0.00208863466680225,0.006313769567111001,-0.0046818178865081,0.005361797753425975,0.00469565976402,0.125
