year,observations,overall_large_move_rate,top_20_observations,top_20_large_move_rate,top_20_lift,bottom_20_observations,bottom_20_large_move_rate,bottom_20_lift,top_minus_bottom
2022,205,0.28292682926829266,41,0.4878048780487805,1.7241379310344829,41,0.1951219512195122,0.6896551724137931,0.2926829268292683
2023,245,0.10612244897959183,49,0.08163265306122448,0.7692307692307692,49,0.10204081632653061,0.9615384615384616,-0.02040816326530613
2024,246,0.16666666666666666,49,0.20408163265306123,1.2244897959183674,49,0.08163265306122448,0.4897959183673469,0.12244897959183675
2025,249,0.14056224899598393,49,0.2857142857142857,2.0326530612244897,49,0.08163265306122448,0.5807580174927113,0.20408163265306123
2026,171,0.23976608187134502,34,0.5,2.0853658536585367,34,0.11764705882352941,0.490674318507891,0.38235294117647056
