bootstrap_iteration,top_20_rate,bottom_20_rate,top_minus_bottom
1,0.3125,0.08482142857142858,0.22767857142857142
2,0.35714285714285715,0.10714285714285714,0.25
3,0.32589285714285715,0.11160714285714286,0.2142857142857143
4,0.2857142857142857,0.09821428571428571,0.1875
5,0.3392857142857143,0.10714285714285714,0.23214285714285715
6,0.34375,0.125,0.21875
7,0.35714285714285715,0.10267857142857142,0.2544642857142857
8,0.29464285714285715,0.09375,0.20089285714285715
9,0.29910714285714285,0.09821428571428571,0.20089285714285715
10,0.375,0.08035714285714286,0.29464285714285715
11,0.29464285714285715,0.125,0.16964285714285715
12,0.28125,0.09375,0.1875
13,0.26339285714285715,0.125,0.13839285714285715
14,0.2857142857142857,0.08928571428571429,0.1964285714285714
15,0.39285714285714285,0.14285714285714285,0.25
16,0.32142857142857145,0.10714285714285714,0.2142857142857143
17,0.32142857142857145,0.10714285714285714,0.2142857142857143
18,0.33035714285714285,0.09375,0.23660714285714285
19,0.32142857142857145,0.12053571428571429,0.20089285714285715
20,0.38392857142857145,0.13392857142857142,0.25
21,0.32589285714285715,0.09375,0.23214285714285715
22,0.33482142857142855,0.12053571428571429,0.21428571428571425
23,0.3392857142857143,0.13839285714285715,0.20089285714285715
24,0.36607142857142855,0.09821428571428571,0.26785714285714285
25,0.27232142857142855,0.11160714285714286,0.1607142857142857
26,0.27232142857142855,0.07142857142857142,0.20089285714285712
27,0.32142857142857145,0.10714285714285714,0.2142857142857143
28,0.32142857142857145,0.125,0.19642857142857145
29,0.41517857142857145,0.12053571428571429,0.29464285714285715
30,0.2857142857142857,0.08928571428571429,0.1964285714285714
31,0.32142857142857145,0.09375,0.22767857142857145
32,0.33482142857142855,0.13392857142857142,0.20089285714285712
33,0.32142857142857145,0.14732142857142858,0.17410714285714288
34,0.33035714285714285,0.09821428571428571,0.23214285714285715
35,0.3169642857142857,0.08482142857142858,0.23214285714285712
36,0.3482142857142857,0.10267857142857142,0.24553571428571427
37,0.36160714285714285,0.09821428571428571,0.26339285714285715
