group,observations,actual_large_move_rate,average_predicted_probability,lift_vs_overall,delta_vs_overall
TOP_20,223,0.3273542600896861,0.447780959812074,1.8175490261696003,0.14724673320796566
MIDDLE_60,670,0.1537313432835821,0.15291608461028436,0.8535531298730229,-0.026376183598138342
BOTTOM_20,223,0.11210762331838565,0.062261742821238426,0.6224482966334248,-0.06799990356333478
