year,observations,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,brier
2022,205,0.5073170731707317,0.5059081379836097,0.5225225225225225,0.5471698113207547,0.5345622119815668,0.5413569658852678,0.2674392876875356
2023,245,0.5591836734693878,0.5261865793780687,0.5932203389830508,0.7446808510638298,0.660377358490566,0.589607201309329,0.24368352252636197
2024,246,0.4878048780487805,0.4788788788788789,0.5310344827586206,0.5703703703703704,0.55,0.47040373707040367,0.2686323629882287
2025,249,0.5261044176706827,0.5256774193548387,0.5231788079470199,0.632,0.572463768115942,0.5211612903225807,0.2585075696404418
2026,171,0.49122807017543857,0.49732803507810364,0.4774774774774775,0.6463414634146342,0.5492227979274611,0.5216497670594684,0.2582341608477771
